sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
26681,SKM/NS/78A10/2017/229,Sikkim,North Sikkim,,NH,27.619722,88.618861,Debris,Slide,NA
26682,SKM/NS/78A10/2017/228,Sikkim,North Sikkim,,NH,27.621806,88.618694,Debris,Slide,NA
26683,SKM/NS/78A10/2017/200,Sikkim,North Sikkim,,NH,27.628083,88.685306,Debris,Slide,NA
26684,SKM/NS/78A10/2017/202,Sikkim,North Sikkim,,NH,27.629361,88.695194,Debris,Slide,NA
26685,SKM/NS/78A10/2017/201,Sikkim,North Sikkim,,NH,27.6295,88.692778,Debris,Slide,NA
26686,SKM/NS/78A10/2017/227,Sikkim,North Sikkim,,NH,27.629944,88.619833,Debris,Slide,NA
26687,SKM/NS/78A10/2017/203,Sikkim,North Sikkim,,NH,27.637167,88.712028,Debris,Slide,NA
26688,SKM/NS/78A10/2017/204,Sikkim,North Sikkim,,NH,27.638694,88.711694,Debris,Slide,NA
26689,SKM/NS/78A10/2017/226,Sikkim,North Sikkim,Munshithang,NH,27.641139,88.612,Debris,Slide,NA
26690,SKM/NS/78A10/2017/225,Sikkim,North Sikkim,,NH,27.652861,88.607,Debris,Slide,NA
26691,SKM/NS/78A10/2017/224,Sikkim,North Sikkim,Rabom,NH,27.662444,88.602556,Debris,Slide,NA
26692,SKM/NS/78A10/2017/205,Sikkim,North Sikkim,,NH,27.675778,88.733417,Debris,Slide,NA
26693,SKM/NS/78A10/2017/223,Sikkim,North Sikkim,,NH,27.676722,88.597194,Debris,Slide,NA
26694,SKM/NS/78A10/2017/206,Sikkim,North Sikkim,,NH,27.686389,88.73875,Debris,Slide,NA
26695,SKM/NS/78A10/2017/222,Sikkim,North Sikkim,Bansoi,NH,27.697139,88.57025,Debris,Slide,NA
26696,SKM/NS/78A10/2017/221,Sikkim,North Sikkim,,NH,27.700444,88.566083,Debris,Slide,NA
26697,SKM/NS/78A10/2017/220,Sikkim,North Sikkim,,NH,27.701333,88.565083,Debris,Slide,NA
26698,SKM/NS/78A10/2017/219,Sikkim,North Sikkim,,NH,27.703917,88.562306,Debris,Slide,NA
26699,SKM/NS/78A10/2017/218,Sikkim,North Sikkim,,NH,27.704028,88.56175,Debris,Slide,NA
26700,SKM/NS/78A10/2017/217,Sikkim,North Sikkim,,NH,27.704306,88.560694,Debris,Slide,NA
26701,SKM/NS/78A10/2017/216,Sikkim,North Sikkim,,NH,27.713944,88.557361,Debris,Slide,NA
26702,SKM/NS/78A10/2017/215,Sikkim,North Sikkim,,NH,27.723611,88.550472,Debris,Slide,NA
26703,SKM/NS/78A10/2017/214,Sikkim,North Sikkim,,NH,27.724222,88.552861,Debris,Slide,NA
26704,SKM/NS/78A10/2017/213,Sikkim,North Sikkim,Chaten,NH,27.726083,88.54975,Debris,Slide,NA
26705,SKM/NS/78A10/2017/212,Sikkim,North Sikkim,,NH,27.728472,88.551667,Debris,Slide,NA
26706,SKM/NS/78A10/2017/211,Sikkim,North Sikkim,Lachen,NH,27.735278,88.54925,Debris,Slide,NA
26707,SKM/NS/78A10/2017/210,Sikkim,North Sikkim,,NH,27.74075,88.54525,Debris,Slide,NA
26708,SKM/NS/78A10/2017/209,Sikkim,North Sikkim,,NH,27.740944,88.545361,Debris,Slide,NA
26709,SKM/NS/78A10/2017/208,Sikkim,North Sikkim,,NH,27.745194,88.544278,Debris,Slide,NA
26710,SKM/NS/78A10/2017/207,Sikkim,North Sikkim,,NH,27.749111,88.542972,Debris,Slide,NA
26711,SKM/EAST/78A12/2015/001,Sikkim,East Sikkim,3rd Mile Subsidence,Kumrek (On Rangpo-Kumrek road ),27.18822222,88.56238889,Debris,Subsidence,July 2015
26712,SKM/EAST/78A12/2015/002,Sikkim,East Sikkim,Kumrek landslide,Kumrek (On Rangpo-Kumrek road ),27.179,88.53313889,Rock,Slide,8 July 2015
